2023-10-13T17:52:48.575Z :: consuming   102.4 MiB


2023-10-13T17:52:49.075Z :: consuming   105.2 MiB


2023-10-13T17:52:49.576Z :: consuming   106.8 MiB


2023-10-13T17:52:50.076Z :: consuming   106.8 MiB


2023-10-13T17:52:50.577Z :: consuming   107.3 MiB


2023-10-13T17:52:51.077Z :: consuming   107.3 MiB


2023-10-13T17:52:51.578Z :: consuming   107.3 MiB


2023-10-13T17:52:52.078Z :: consuming   107.3 MiB


2023-10-13T17:52:52.580Z :: consuming   107.3 MiB


2023-10-13T17:52:53.080Z :: consuming   107.3 MiB


2023-10-13T17:52:53.581Z :: consuming   107.3 MiB


2023-10-13T17:52:54.082Z :: consuming   107.3 MiB


2023-10-13T17:52:54.583Z :: consuming   107.3 MiB


2023-10-13T17:52:55.084Z :: consuming   107.3 MiB


2023-10-13T17:52:55.584Z :: consuming   107.4 MiB


2023-10-13T17:52:56.085Z :: consuming   107.5 MiB


2023-10-13T17:52:56.585Z :: consuming   107.9 MiB


2023-10-13T17:52:57.085Z :: consuming   108.1 MiB


2023-10-13T17:52:57.586Z :: consuming   111.1 MiB


2023-10-13T17:52:58.086Z :: consuming   111.1 MiB


2023-10-13T17:52:58.588Z :: consuming   111.1 MiB


2023-10-13T17:52:59.088Z :: consuming   111.1 MiB


2023-10-13T17:52:59.590Z :: consuming   111.1 MiB


2023-10-13T17:53:00.090Z :: consuming   111.3 MiB


2023-10-13T17:53:00.591Z :: consuming   114.9 MiB


2023-10-13T17:53:01.091Z :: consuming   115.0 MiB


2023-10-13T17:53:01.592Z :: consuming   115.0 MiB


2023-10-13T17:53:02.093Z :: consuming   115.1 MiB


2023-10-13T17:53:02.594Z :: consuming   118.3 MiB


2023-10-13T17:53:03.094Z :: consuming   118.3 MiB


2023-10-13T17:53:03.594Z :: consuming   118.3 MiB


2023-10-13T17:53:04.095Z :: consuming   117.1 MiB


2023-10-13T17:53:52.667Z :: consuming   99.0 MiB


2023-10-13T17:53:53.167Z :: consuming   100.7 MiB


2023-10-13T17:53:53.667Z :: consuming   100.7 MiB


2023-10-13T17:53:54.167Z :: consuming   100.7 MiB


2023-10-13T17:53:54.668Z :: consuming   100.7 MiB


2023-10-13T17:53:55.168Z :: consuming   100.7 MiB


2023-10-13T17:53:55.668Z :: consuming   100.7 MiB


2023-10-13T17:53:56.168Z :: consuming   100.7 MiB


2023-10-13T17:53:56.668Z :: consuming   100.7 MiB


2023-10-13T17:53:57.168Z :: consuming   100.7 MiB


2023-10-13T17:53:57.668Z :: consuming   100.7 MiB


2023-10-13T17:53:58.168Z :: consuming   100.7 MiB


2023-10-13T17:53:58.668Z :: consuming   100.8 MiB


2023-10-13T17:53:59.169Z :: consuming   101.2 MiB


2023-10-13T17:53:59.669Z :: consuming   101.5 MiB


2023-10-13T17:54:00.171Z :: consuming   101.5 MiB


2023-10-13T17:54:00.671Z :: consuming   101.6 MiB


2023-10-13T17:54:01.203Z :: consuming   105.3 MiB


